primaryTitle,Genres,TotalGross,Year,Distributor,Release Month,CPI,Gas,Unemploy,Per Savings
The Sisterhood of the Traveling Pants,Comedy,"$39,053,061 ",2005,Warner Bros.,6/1/2005,193.7,2.06,5,2.6
The Sisterhood of the Traveling Pants,Drama,"$39,053,061 ",2005,Warner Bros.,6/1/2005,193.7,2.06,5,2.6
The Sisterhood of the Traveling Pants 2,Comedy,"$44,089,964 ",2008,Warner Bros.,8/1/2008,218.69,4.22,6.1,3.5
The Sisterhood of the Traveling Pants 2,Drama,"$44,089,964 ",2008,Warner Bros.,8/1/2008,218.69,4.22,6.1,3.5
The Skeleton Key,Drama,"$47,907,715 ",2005,Universal Pictures,8/1/2005,196.1,2.28,4.9,2.6
The Skeleton Key,Horror,"$47,907,715 ",2005,Universal Pictures,8/1/2005,196.1,2.28,4.9,2.6
The Soloist,Biography,"$31,720,158 ",2009,DreamWorks,4/1/2009,212.709,2.35,9,6.6
The Soloist,Drama,"$31,720,158 ",2009,DreamWorks,4/1/2009,212.709,2.35,9,6.6
The Spiderwick Chronicles,Action,"$71,195,053 ",2008,Paramount Pictures,2/1/2008,212.687,3.34,4.9,3.6
The Spiderwick Chronicles,Drama,"$71,195,053 ",2008,Paramount Pictures,2/1/2008,212.687,3.34,4.9,3.6
The Spiderwick Chronicles,Adventure,"$71,195,053 ",2008,Paramount Pictures,2/1/2008,212.687,3.34,4.9,3.6
The Spirit,Action,"$19,806,188 ",2008,Lionsgate,12/1/2008,211.398,2.64,7.3,6.2
The Spirit,Crime,"$19,806,188 ",2008,Lionsgate,12/1/2008,211.398,2.64,7.3,6.2
The SpongeBob SquarePants Movie,Adventure,"$85,417,988 ",2004,Paramount Pictures,11/1/2004,191.7,1.96,5.4,3.8
The SpongeBob SquarePants Movie,Comedy,"$85,417,988 ",2004,Paramount Pictures,11/1/2004,191.7,1.96,5.4,3.8
The SpongeBob SquarePants Movie,Animation,"$85,417,988 ",2004,Paramount Pictures,11/1/2004,191.7,1.96,5.4,3.8
The Squid and the Whale,Comedy,"$7,372,734 ",2005,IDP Distribution,10/1/2005,199.1,2.63,5,2.9
The Squid and the Whale,Drama,"$7,372,734 ",2005,IDP Distribution,10/1/2005,199.1,2.63,5,2.9
The Station Agent,Comedy,"$5,739,376 ",2003,Miramax,10/1/2003,184.9,1.3,6,5.3
The Station Agent,Drama,"$5,739,376 ",2003,Miramax,10/1/2003,184.9,1.3,6,5.3
The Stepfather,Drama,"$29,062,561 ",2009,Screen Gems,10/1/2009,216.509,2.6,10,5.2
