primaryTitle,Genres,TotalGross,Year,Distributor,Release Month,CPI,Gas,Unemploy,Per Savings
Ultraviolet,Short,"$18,535,812 ",2006,Screen Gems,3/1/2006,199.7,2.43,4.7,4.1
Unaccompanied Minors,Adventure,"$16,655,224 ",2006,Warner Bros.,12/1/2006,203.1,2.46,4.4,3.5
Unaccompanied Minors,Family,"$16,655,224 ",2006,Warner Bros.,12/1/2006,203.1,2.46,4.4,3.5
Unaccompanied Minors,Comedy,"$16,655,224 ",2006,Warner Bros.,12/1/2006,203.1,2.46,4.4,3.5
Unbreakable,Drama,"$95,011,339 ",2001,Walt Disney Studios Motion Pictures,11/1/2001,177.5,1.19,5.5,3.5
Under the Same Moon,Crime,"$12,590,147 ",2008,The Weinstein Company,3/1/2008,213.448,3.7,5.1,3.4
Under the Same Moon,Drama,"$12,590,147 ",2008,The Weinstein Company,3/1/2008,213.448,3.7,5.1,3.4
Under the Sea 3D,Documentary,"$36,262,926 ",2009,Warner Bros.,2/1/2009,212.705,2.45,8.3,5.6
Under the Sea 3D,Short,"$36,262,926 ",2009,Warner Bros.,2/1/2009,212.705,2.45,8.3,5.6
Under the Tuscan Sun,Comedy,"$43,610,723 ",2003,Walt Disney Studios Motion Pictures,9/1/2003,185.1,1.28,6.1,5.1
Under the Tuscan Sun,Drama,"$43,610,723 ",2003,Walt Disney Studios Motion Pictures,9/1/2003,185.1,1.28,6.1,5.1
Underclassman,Action,"$5,655,459 ",2005,Miramax,9/1/2005,198.8,2.59,5,2.7
